id,name,description,created_by_id
holi_0001,8/17/2012,Hari kemerdekaan,Administrator
holi_0002,8/19/2012,Idul Fitri,Administrator
holi_0003,8/20/2012,Idul Fitri,Administrator
holi_0004,8/21/2012,Cuti Bersama,Administrator
holi_0005,8/22/2012,Cuti Bersama,Administrator
holi_0006,1/1/2013,Tahun Baru,Administrator
holi_0007,1/1/2014,Tahun Baru Masehi,Administrator
holi_0008,1/14/2014,Maulid Nabi Muhammad SAW,Administrator
holi_0009,1/31/2014,Tahun Baru Imlek,Administrator
holi_0010,3/31/2014,Nyepi,Administrator
holi_0011,4/18/2014,Wafat Isa Almasih,Administrator
holi_0012,5/1/2014,Hari Buruh,Administrator
holi_0013,5/15/2014,Waisak,Administrator
holi_0014,5/27/2014,Isra Mi`raj,Administrator
holi_0015,5/29/2014,Kenaikan Isa Almasih,Administrator
holi_0016,7/28/2014,Idul Fitri,Administrator
holi_0017,7/29/2014,Idul Fitri,Administrator
holi_0018,7/30/2014,Cuti bersama Lebaran,Administrator
holi_0019,7/31/2014,Cuti bersama Lebaran,Administrator
holi_0020,8/17/2014,Kemerdekaan RI,Administrator
holi_0021,10/5/2014,Idul Adha,Administrator
holi_0022,10/25/2014,Tahun Baru Islam,Administrator
holi_0023,12/25/2014,Natal,Administrator
holi_0024,12/26/2014,Cuti bersama Natal,Administrator
holi_0025,1/1/2015,Tahun Baru Masehi 2015,Administrator
