"id","name","category_id","uom_type","factor_inv","active"
"product_uom_100","Pcs","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_110","Roll","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_120","Set","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_130","Kapsul","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_140","Box","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_150","Kpsul","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_160","Table","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_170","Kplet","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_180","Kptab","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_190","Tube","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_200","Botol","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_210","Ampul","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_220","Vial","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_230","Shrink","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_240","Kp Lu","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_250","Pot 30 Kp Lu","Unit","Bigger than the reference Unit of Measure",30,"TRUE"
"product_uom_260","Pot 50 Kp Lu","Unit","Bigger than the reference Unit of Measure",50,"TRUE"
"product_uom_270","Box 24 Botol","Unit","Bigger than the reference Unit of Measure",24,"TRUE"
"product_uom_280","Pot 1000 Kpsul","Unit","Bigger than the reference Unit of Measure",1000,"TRUE"
"product_uom_290","Pot 250 Kpsul","Unit","Bigger than the reference Unit of Measure",250,"TRUE"
"product_uom_300","Pot 30 Kpsul","Unit","Bigger than the reference Unit of Measure",30,"TRUE"
"product_uom_310","Pot 100 Kpsul","Unit","Bigger than the reference Unit of Measure",100,"TRUE"
"product_uom_320","Box 100 Kpsul","Unit","Bigger than the reference Unit of Measure",100,"TRUE"
"product_uom_330","Box 1000 Kpsul","Unit","Bigger than the reference Unit of Measure",1000,"TRUE"
"product_uom_340","Box 120 Kpsul","Unit","Bigger than the reference Unit of Measure",120,"TRUE"
"product_uom_350","Box 30 Kpsul","Unit","Bigger than the reference Unit of Measure",30,"TRUE"
"product_uom_360","Box 50 Ampul","Unit","Bigger than the reference Unit of Measure",50,"TRUE"
"product_uom_370","Box 30 Ampul","Unit","Bigger than the reference Unit of Measure",30,"TRUE"
"product_uom_380","Box 10 Vial","Unit","Bigger than the reference Unit of Measure",10,"TRUE"
"product_uom_390","Box 100 Ampul","Unit","Bigger than the reference Unit of Measure",100,"TRUE"
"product_uom_400","Shrink 10 Vial","Unit","Bigger than the reference Unit of Measure",10,"TRUE"
"product_uom_410","Box 5 Ampul","Unit","Bigger than the reference Unit of Measure",5,"TRUE"
"product_uom_420","Box 1 Vial","Unit","Bigger than the reference Unit of Measure",1,"TRUE"
"product_uom_430","Box 10 Ampul","Unit","Bigger than the reference Unit of Measure",10,"TRUE"
"product_uom_440","Pot 500 Kpsul","Unit","Bigger than the reference Unit of Measure",500,"TRUE"
"product_uom_450","Box 100 Kplet","Unit","Bigger than the reference Unit of Measure",100,"TRUE"
"product_uom_460","Box 100 Table","Unit","Bigger than the reference Unit of Measure",100,"TRUE"
"product_uom_470","Box 30 Kptab","Unit","Bigger than the reference Unit of Measure",30,"TRUE"
"product_uom_480","Box 50 Kptab","Unit","Bigger than the reference Unit of Measure",50,"TRUE"
"product_uom_490","Box 30 Table","Unit","Bigger than the reference Unit of Measure",30,"TRUE"
"product_uom_500","Pot 100 Table","Unit","Bigger than the reference Unit of Measure",100,"TRUE"
"product_uom_510","ml","Volume","Smaller than the reference Unit of Measure",1000,"TRUE"
"product_uom_520","Liter(s)","Volume","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_530","lbr","Unit","Reference Unit of Measure for this category",1,"TRUE"
"product_uom_540","bh","Unit","Reference Unit of Measure for this category",1,"TRUE"

